f_1,f_2,f_3,f_4,f_5,f_1_min,f_2_min,f_3_min,f_4_min,f_5_min
0.04210086205026804,0.9977330919131066,0.1248790890629388,0.040640493078733554,0.04187329667490163,0.04210086205026804,0.9977330919131066,0.1248790890629388,0.040640493078733554,0.04187329667490163
0.023874450582619118,1.000928080827277,0.1256353828683556,0.044816364909019864,0.024001057659369374,0.023874450582619118,1.000928080827277,0.1256353828683556,0.044816364909019864,0.024001057659369374
0.0005915170099554683,1.0066918699213148,0.07704639526493114,0.07702964374689171,0.00007921765203101711,0.0005915170099554683,1.0066918699213148,0.07704639526493114,0.07702964374689171,0.00007921765203101711
0.04490512971790062,1.009133143845571,0.10669775823663964,0.04479810856151283,0.02381323871718935,0.04490512971790062,1.009133143845571,0.10669775823663964,0.04479810856151283,0.02381323871718935
0.00017782777201966882,0.9913168857623678,0.15817148441647547,0.0,0.03973909812540611,0.00017782777201966882,0.9913168857623678,0.15817148441647547,0.0,0.03973909812540611
0.07975628285776137,0.999414440499445,0.0,0.0,0.11974374159006954,0.07975628285776137,0.999414440499445,0.0,0.0,0.11974374159006954
0.07750102674398102,1.009653379309904,0.03977888666852163,0.0,0.03853729338345725,0.07750102674398102,1.009653379309904,0.03977888666852163,0.0,0.03853729338345725
0.08219968169138896,1.0059646246716532,0.023399929788386002,0.043035029194006535,0.023765520778661724,0.08219968169138896,1.0059646246716532,0.023399929788386002,0.043035029194006535,0.023765520778661724
0.08341160004113986,0.9994981514373815,0.04145304361312222,0.08313551902903822,0.04167632432592208,0.08341160004113986,0.9994981514373815,0.04145304361312222,0.08313551902903822,0.04167632432592208
0.023963246336742343,1.0076697919932889,0.06401376350576853,0.06396105048402065,0.04447603580874734,0.023963246336742343,1.0076697919932889,0.06401376350576853,0.06396105048402065,0.04447603580874734
0.038212608456492526,1.001894429744179,0.11552013405739571,0.0,0.0,0.038212608456492526,1.001894429744179,0.11552013405739571,0.0,0.0
