f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_1_min,f_2_min,f_3_min,f_4_min,f_5_min,f_6_min,f_7_min
0.05946425171633482,0.950730425459139,0.0587881956541627,0.000019629071529103778,0.05929275174662624,0.00007584842174488379,0.2967194521290435,0.05946425171633482,0.950730425459139,0.0587881956541627,0.000019629071529103778,0.05929275174662624,0.00007584842174488379,0.2967194521290435
0.07672797383302195,0.9413095678769283,0.01692355419507172,0.047746824527234145,0.016907885041324733,0.04711452086956455,0.32482373195767233,0.07672797383302195,0.9413095678769283,0.01692355419507172,0.047746824527234145,0.016907885041324733,0.04711452086956455,0.32482373195767233
0.0005802998543675688,0.8839583242521443,0.0,0.057768362031201635,0.0,0.0,0.4664557863113657,0.0005802998543675688,0.8839583242521443,0.0,0.057768362031201635,0.0,0.0,0.4664557863113657
0.00020368492451937486,0.9320294698701308,0.00026597834399238535,0.0,0.1788144283747922,0.05792734780218427,0.3140789498787325,0.00020368492451937486,0.9320294698701308,0.00026597834399238535,0.0,0.1788144283747922,0.05792734780218427,0.3140789498787325
0.01776155448849035,0.9327253058505725,0.07578324916974685,0.016835461492940604,0.017504800690450607,0.046792704107126215,0.35172738755600985,0.01776155448849035,0.9327253058505725,0.07578324916974685,0.016835461492940604,0.017504800690450607,0.046792704107126215,0.35172738755600985
0.04740988677874913,0.9425467291546247,0.01813814039233923,0.013565972829434284,0.01683727448170577,0.01647890277141111,0.3333112172273268,0.04740988677874913,0.9425467291546247,0.01813814039233923,0.013565972829434284,0.01683727448170577,0.01647890277141111,0.3333112172273268
0.053705831348247045,0.9574929753517848,0.0,0.000010556976704665601,1.2531480724333557e-7,0.054550420949256495,0.2826012008159743,0.053705831348247045,0.9574929753517848,0.0,0.000010556976704665601,1.2531480724333557e-7,0.054550420949256495,0.2826012008159743
0.1358513405963878,0.9370213763940675,0.015922697507220033,0.01682937541026176,0.018412662642022674,0.018683072728282735,0.3235851764935943,0.1358513405963878,0.9370213763940675,0.015922697507220033,0.01682937541026176,0.018412662642022674,0.018683072728282735,0.3235851764935943
0.000021461426446272453,0.9473566206726618,0.11589050666114331,0.0,0.0,0.05487327022990328,0.29757355252552037,0.000021461426446272453,0.9473566206726618,0.11589050666114331,0.0,0.0,0.05487327022990328,0.29757355252552037
0.04888358844257999,0.9494364929291499,0.04652609886855577,0.016591658232698023,0.01675044384994882,0.016906391984042098,0.30934231504176,0.04888358844257999,0.9494364929291499,0.04652609886855577,0.016591658232698023,0.01675044384994882,0.016906391984042098,0.30934231504176
5.773127685993036e-17,0.9428233005651119,0.0008301845134113212,0.00022261350794588677,0.00014611531070428995,0.05342043805094646,0.33293335414103625,5.773127685993036e-17,0.9428233005651119,0.0008301845134113212,0.00022261350794588677,0.00014611531070428995,0.05342043805094646,0.33293335414103625
0.062405534789478835,0.9220449912333941,0.0002578959578081193,4.372808891430547e-6,0.12057271196302355,0.00028425650245916584,0.36592075354423154,0.062405534789478835,0.9220449912333941,0.0002578959578081193,4.372808891430547e-6,0.12057271196302355,0.00028425650245916584,0.36592075354423154
0.12003252815245237,0.9388162090531537,0.060445381315424866,0.000035112235934690484,0.0003256276358363706,0.06176958701426166,0.3148251787115021,0.12003252815245237,0.9388162090531537,0.060445381315424866,0.000035112235934690484,0.0003256276358363706,0.06176958701426166,0.3148251787115021
5.750786938598047e-17,0.9391747796347435,0.12256822450019032,0.0003356271218268904,0.06109561784784791,0.06134861655289365,0.3131391193098678,5.750786938598047e-17,0.9391747796347435,0.12256822450019032,0.0003356271218268904,0.06109561784784791,0.06134861655289365,0.3131391193098678
0.11367835372194665,0.931667588534956,0.0,0.00038225466693973516,0.0005146755932137335,0.0,0.3485675644702806,0.11367835372194665,0.931667588534956,0.0,0.00038225466693973516,0.0005146755932137335,0.0,0.3485675644702806
0.05855735431634601,0.9516798613205877,0.0,0.061410853726802384,0.05612229210991396,0.0,0.2941800281861218,0.05855735431634601,0.9516798613205877,0.0,0.061410853726802384,0.05612229210991396,0.0,0.2941800281861218
